user_id,film_id,film_title,genre,duree_visionnee_sec,timestamp
U00994,F008,Joker,Drame,575,2024-01-01 00:19:58
U00750,F006,La La Land,Romance,343,2024-01-01 00:51:38
U01032,F008,Joker,Drame,4947,2024-01-01 00:51:57
U01291,F006,La La Land,Romance,4322,2024-01-01 03:11:59
U00506,F004,Interstellar,Science-Fiction,50,2024-01-01 04:59:42
U01571,F012,Squid Game,Thriller,229,2024-01-01 05:14:29
U00512,F008,Joker,Drame,5648,2024-01-01 07:10:08
U00262,F012,Squid Game,Thriller,57,2024-01-01 07:51:36
U01326,F008,Joker,Drame,4861,2024-01-01 09:24:32
U01124,F001,Inception,Science-Fiction,7980,2024-01-01 10:09:26
U01720,F011,Dark,Science-Fiction,2691,2024-01-01 11:31:15
U00269,F012,Squid Game,Thriller,1121,2024-01-01 11:49:56
U01982,F012,Squid Game,Thriller,1020,2024-01-01 12:11:27
U01720,F010,Breaking Bad,Thriller,201,2024-01-01 13:37:37
U00200,F001,Inception,Science-Fiction,6858,2024-01-01 14:19:26
U00572,F002,Le Seigneur des Anneaux,Fantasy,1084,2024-01-01 14:34:33
U01249,F003,Parasite,Thriller,1092,2024-01-01 14:44:06
U01722,F013,Stranger Things,Fantastique,2017,2024-01-01 14:46:45
U01181,F003,Parasite,Thriller,253,2024-01-01 15:45:49
U01784,F001,Inception,Science-Fiction,232,2024-01-01 18:07:19
U00674,F001,Inception,Science-Fiction,2084,2024-01-01 18:26:22
U00581,F003,Parasite,Thriller,5962,2024-01-01 19:26:26
U01467,F007,Avengers Endgame,Action,143,2024-01-01 20:28:37
U00465,F011,Dark,Science-Fiction,2374,2024-01-01 22:02:27
U00093,F001,Inception,Science-Fiction,7089,2024-01-01 23:06:59
U00953,F005,Intouchables,Comédie dramatique,4888,2024-01-02 00:04:52
U00535,F007,Avengers Endgame,Action,6510,2024-01-02 00:49:07
U00816,F001,Inception,Science-Fiction,4173,2024-01-02 01:05:56
U01973,F015,Notre-Dame en Flammes,Documentaire,2784,2024-01-02 01:54:10
U00755,F010,Breaking Bad,Thriller,408,2024-01-02 03:00:45
U01583,F010,Breaking Bad,Thriller,542,2024-01-02 04:00:04
U01980,F005,Intouchables,Comédie dramatique,4970,2024-01-02 06:27:04
U01437,F012,Squid Game,Thriller,1765,2024-01-02 06:59:05
U01385,F002,Le Seigneur des Anneaux,Fantasy,2513,2024-01-02 07:42:30
U00800,F005,Intouchables,Comédie dramatique,1053,2024-01-02 09:33:34
U00648,F012,Squid Game,Thriller,1721,2024-01-02 10:01:10
U01621,F007,Avengers Endgame,Action,168,2024-01-02 12:26:20
U00280,F010,Breaking Bad,Thriller,688,2024-01-02 14:57:56
U00510,F001,Inception,Science-Fiction,122,2024-01-02 16:05:31
U01207,F014,The Crown,Drame,285,2024-01-02 16:25:46
U00115,F012,Squid Game,Thriller,389,2024-01-02 16:39:51
U00559,F010,Breaking Bad,Thriller,1998,2024-01-02 17:24:05
U01281,F012,Squid Game,Thriller,2497,2024-01-02 18:53:49
U00044,F004,Interstellar,Science-Fiction,9606,2024-01-02 19:18:47
U01615,F013,Stranger Things,Fantastique,2844,2024-01-02 20:37:11
U01174,F004,Interstellar,Science-Fiction,225,2024-01-02 20:51:27
U01435,F011,Dark,Science-Fiction,992,2024-01-02 21:32:27
U01493,F007,Avengers Endgame,Action,3466,2024-01-02 21:51:23
U01483,F013,Stranger Things,Fantastique,1400,2024-01-02 22:03:24
U01999,F004,Interstellar,Science-Fiction,4776,2024-01-02 22:44:20
U00334,F013,Stranger Things,Fantastique,2013,2024-01-02 23:08:00
U01603,F007,Avengers Endgame,Action,10008,2024-01-03 01:40:24
U00520,F007,Avengers Endgame,Action,4897,2024-01-03 02:57:11
U00631,F006,La La Land,Romance,2008,2024-01-03 04:52:18
U01248,F005,Intouchables,Comédie dramatique,5123,2024-01-03 06:39:09
U00266,F005,Intouchables,Comédie dramatique,5196,2024-01-03 07:20:34
U00782,F007,Avengers Endgame,Action,5459,2024-01-03 08:19:18
U01641,F004,Interstellar,Science-Fiction,4811,2024-01-03 09:02:06
U00280,F015,Notre-Dame en Flammes,Documentaire,221,2024-01-03 10:13:34
U01965,F002,Le Seigneur des Anneaux,Fantasy,5348,2024-01-03 12:42:31
U00414,F006,La La Land,Romance,3449,2024-01-03 13:24:02
U00307,F002,Le Seigneur des Anneaux,Fantasy,6352,2024-01-03 13:47:03
U00057,F008,Joker,Drame,129,2024-01-03 14:07:23
U01019,F012,Squid Game,Thriller,2405,2024-01-03 14:30:32
U01263,F003,Parasite,Thriller,185,2024-01-03 15:04:35
U01571,F010,Breaking Bad,Thriller,1458,2024-01-03 16:21:54
U01054,F013,Stranger Things,Fantastique,1298,2024-01-03 16:24:36
U00841,F011,Dark,Science-Fiction,148,2024-01-03 16:44:05
U01947,F007,Avengers Endgame,Action,8659,2024-01-03 17:51:46
U00049,F008,Joker,Drame,519,2024-01-03 18:03:53
U01010,F013,Stranger Things,Fantastique,1868,2024-01-03 18:30:24
U01420,F004,Interstellar,Science-Fiction,7903,2024-01-03 20:15:14
U00619,F007,Avengers Endgame,Action,8395,2024-01-03 22:44:35
U00118,F002,Le Seigneur des Anneaux,Fantasy,6263,2024-01-03 23:55:16
U01148,F012,Squid Game,Thriller,3203,2024-01-04 00:30:03
U01708,F007,Avengers Endgame,Action,4633,2024-01-04 00:54:59
U00360,F013,Stranger Things,Fantastique,2624,2024-01-04 01:17:39
U00624,F010,Breaking Bad,Thriller,1004,2024-01-04 01:39:14
U01347,F001,Inception,Science-Fiction,2544,2024-01-04 03:09:55
U00742,F014,The Crown,Drame,106,2024-01-04 04:56:21
U01124,F013,Stranger Things,Fantastique,1940,2024-01-04 05:59:09
U00793,F003,Parasite,Thriller,6815,2024-01-04 06:35:10
U01058,F004,Interstellar,Science-Fiction,4036,2024-01-04 06:36:10
U01446,F008,Joker,Drame,163,2024-01-04 07:32:29
U01033,F013,Stranger Things,Fantastique,425,2024-01-04 08:20:43
U01138,F002,Le Seigneur des Anneaux,Fantasy,3170,2024-01-04 08:22:14
U01983,F014,The Crown,Drame,2074,2024-01-04 08:38:29
U00662,F014,The Crown,Drame,178,2024-01-04 08:50:22
U00798,F003,Parasite,Thriller,154,2024-01-04 08:52:30
U00875,F004,Interstellar,Science-Fiction,252,2024-01-04 09:10:29
U01958,F010,Breaking Bad,Thriller,203,2024-01-04 11:27:33
U00790,F012,Squid Game,Thriller,925,2024-01-04 14:12:49
U00211,F006,La La Land,Romance,1634,2024-01-04 14:24:29
U01066,F015,Notre-Dame en Flammes,Documentaire,3657,2024-01-04 14:51:43
U00256,F007,Avengers Endgame,Action,9101,2024-01-04 15:16:20
U01442,F007,Avengers Endgame,Action,9377,2024-01-04 16:13:30
U01284,F001,Inception,Science-Fiction,176,2024-01-04 16:23:42
U00645,F012,Squid Game,Thriller,2385,2024-01-04 17:19:26
U00029,F003,Parasite,Thriller,5894,2024-01-04 17:43:23
U00762,F005,Intouchables,Comédie dramatique,3860,2024-01-04 17:47:09
U00238,F001,Inception,Science-Fiction,4815,2024-01-04 18:09:09
U01228,F001,Inception,Science-Fiction,7736,2024-01-04 19:44:54
U01803,F008,Joker,Drame,6086,2024-01-04 22:36:54
U01752,F004,Interstellar,Science-Fiction,42,2024-01-04 23:14:49
U00286,F004,Interstellar,Science-Fiction,3967,2024-01-05 01:43:38
U01844,F007,Avengers Endgame,Action,5947,2024-01-05 02:34:20
U01311,F009,The Office,Comédie,266,2024-01-05 03:57:17
U00953,F015,Notre-Dame en Flammes,Documentaire,261,2024-01-05 04:36:53
U00378,F002,Le Seigneur des Anneaux,Fantasy,1355,2024-01-05 07:16:10
U01284,F005,Intouchables,Comédie dramatique,6468,2024-01-05 07:32:42
U01917,F013,Stranger Things,Fantastique,1212,2024-01-05 07:50:14
U01643,F010,Breaking Bad,Thriller,1599,2024-01-05 08:25:46
U00094,F004,Interstellar,Science-Fiction,6629,2024-01-05 09:17:53
U01160,F012,Squid Game,Thriller,236,2024-01-05 11:41:57
U00264,F008,Joker,Drame,2162,2024-01-05 12:00:50
U00591,F015,Notre-Dame en Flammes,Documentaire,3250,2024-01-05 12:08:43
U01386,F008,Joker,Drame,57,2024-01-05 12:32:16
U00982,F010,Breaking Bad,Thriller,2283,2024-01-05 14:26:41
U00990,F009,The Office,Comédie,240,2024-01-05 14:27:32
U01531,F010,Breaking Bad,Thriller,2682,2024-01-05 15:38:24
U00663,F003,Parasite,Thriller,1595,2024-01-05 15:40:28
U01014,F001,Inception,Science-Fiction,7552,2024-01-05 16:30:56
U01467,F012,Squid Game,Thriller,1063,2024-01-05 17:37:35
U01060,F004,Interstellar,Science-Fiction,1141,2024-01-05 18:32:16
U00173,F001,Inception,Science-Fiction,3792,2024-01-05 18:45:26
